,State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
54,24,473,3776,0,0,0,SUB-DISTRICT,Dehgam,Urban,8690,42632,21968,20664,5446,2949,2497,2875,1500,1375,1778,897,881,30437,16878,13559,12195,5090,7105,14392,12078,2314,12221,10698,1523,722,701,21,1222,832,390,162,133,29,10115,9032,1083,2171,1380,791,8,7,1,962,659,303,28,9,19,1173,705,468,1872,1231,641,8,7,1,926,651,275,24,7,17,914,566,348,299,149,150,0,0,0,36,8,28,4,2,2,259,139,120,28240,9890,18350
55,24,474,3777,0,0,0,SUB-DISTRICT,Mandal,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,24,474,3778,0,0,0,SUB-DISTRICT,Detroj-Rampura,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,24,474,3779,0,0,0,SUB-DISTRICT,Viramgam,Urban,12188,55821,28929,26892,6504,3454,3050,5202,2681,2521,473,246,227,41628,23236,18392,14193,5693,8500,18685,16220,2465,16642,14871,1771,369,280,89,362,238,124,149,100,49,15762,14253,1509,2043,1349,694,44,22,22,74,26,48,68,23,45,1857,1278,579,1621,1012,609,42,21,21,66,22,44,59,18,41,1454,951,503,422,337,85,2,1,1,8,4,4,9,5,4,403,327,76,37136,12709,24427
58,24,474,3780,0,0,0,SUB-DISTRICT,Sanand,Urban,19999,95890,50559,45331,12828,7042,5786,12783,6786,5997,1169,654,515,68409,39559,28850,27481,11000,16481,33788,28395,5393,30891,26865,4026,3832,3707,125,4539,3578,961,160,119,41,22360,19461,2899,2897,1530,1367,179,57,122,1103,559,544,57,8,49,1558,906,652,2606,1402,1204,178,57,121,1023,525,498,32,4,28,1373,816,557,291,128,163,1,0,1,80,34,46,25,4,21,185,90,95,62102,22164,39938
59,24,474,3781,0,0,0,SUB-DISTRICT,Ahmadabad City,Urban,1181269,5585528,2942922,2642606,621829,336468,285361,596468,313630,282838,67659,35902,31757,4382411,2405849,1976562,1203117,537073,666044,1954050,1646421,307629,1807450,1564426,243024,9057,7226,1831,9767,7738,2029,35288,23383,11905,1753338,1526079,227259,146600,81995,64605,4723,2185,2538,3435,1827,1608,9545,2617,6928,128897,75366,53531,130340,72350,57990,4617,2105,2512,3139,1677,1462,7607,2063,5544,114977,66505,48472,16260,9645,6615,106,80,26,296,150,146,1938,554,1384,13920,8861,5059,3631478,1296501,2334977
60,24,474,3782,0,0,0,SUB-DISTRICT,Daskroi,Urban,29546,135035,70757,64278,16801,9140,7661,9086,4820,4266,2407,1281,1126,102828,56952,45876,32207,13805,18402,47297,39929,7368,42992,37350,5642,2611,2493,118,3710,3137,573,516,366,150,36155,31354,4801,4305,2579,1726,144,89,55,783,489,294,130,50,80,3248,1951,1297,3637,2160,1477,135,84,51,702,442,260,109,39,70,2691,1595,1096,668,419,249,9,5,4,81,47,34,21,11,10,557,356,201,87738,30828,56910
61,24,474,3783,0,0,0,SUB-DISTRICT,Dholka,Urban,16584,80945,41905,39040,9776,5272,4504,8337,4389,3948,408,227,181,58450,32124,26326,22495,9781,12714,28936,23173,5763,24295,20384,3911,821,782,39,2951,2204,747,2151,1562,589,18372,15836,2536,4641,2789,1852,75,41,34,771,387,384,648,372,276,3147,1989,1158,4105,2463,1642,72,40,32,707,351,356,553,325,228,2773,1747,1026,536,326,210,3,1,2,64,36,28,95,47,48,374,242,132,52009,18732,33277
62,24,474,3784,0,0,0,SUB-DISTRICT,Bavla,Urban,9089,42458,22341,20117,5058,2743,2315,4525,2372,2153,97,57,40,31718,17889,13829,10740,4452,6288,15559,12877,2682,14371,12301,2070,747,719,28,924,603,321,177,122,55,12523,10857,1666,1188,576,612,17,13,4,179,65,114,90,34,56,902,464,438,1081,520,561,16,13,3,167,62,105,85,32,53,813,413,400,107,56,51,1,0,1,12,3,9,5,2,3,89,51,38,26899,9464,17435
63,24,474,3785,0,0,0,SUB-DISTRICT,Ranpur,Urban,3317,16944,8717,8227,2176,1161,1015,638,321,317,24,16,8,12001,6728,5273,4943,1989,2954,5495,4760,735,4805,4394,411,274,263,11,904,815,89,54,43,11,3573,3273,300,690,366,324,5,1,4,299,113,186,41,7,34,345,245,100,565,309,256,5,1,4,222,78,144,34,7,27,304,223,81,125,57,68,0,0,0,77,35,42,7,0,7,41,22,19,11449,3957,7492
